id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance,dist_minus_2h,dist_rate_of_change,moon_ra_minus_6h,moon_ra_minus_12h,moon_altitude,distancia_real_km,A_norm,tau,sigma_n,delta_cfs
usp0006ww5,1995-05-05 03:53:45.050000+00:00,12.626,125.297,16.0,7.1,"14 km NE of Cabatuan, Philippines",earthquake,2449842.662326968,104.15054,17.88158,0.00269882297273,17.88158,-176.84570495879424,55.86103960800888,0.00269999928061,-0.5881539400000042,97.94184,101.04942,33.4506621177729,400198.5854261202,0.7150639310416,0.5966213067379293,0.3941566209300458,0.7542839551099476
usp0007788,1995-11-22 04:15:11.940000+00:00,28.826,34.799,10.0,7.2,"27 km SSE of Nuwaybi‘a, Egypt",earthquake,2450043.677221528,231.0366,-16.22509,0.00242296173273,-16.22509,106.55103209522248,82.60640588445395,0.00242472287948,-0.880573375000018,223.50871,227.25061,6.453201137625097,361693.16485797084,0.9686137161192228,0.9624765679581153,0.10886407665459559,1.0060221986199536
usp0007dmb,1996-02-21 12:51:01.300000+00:00,-9.593,-79.587,10.0,7.5,"123 km WSW of Puerto Santa, Peru",earthquake,2450135.035431713,5.44209,3.48675,0.00250200011146,3.48675,21.9501696354414,101.94525223128332,0.00249885774322,1.57118411999997,358.7966,2.12956,-12.840885987014504,375657.93687297375,0.8645573607461504,0.8429356544578199,-0.19214294799475723,0.766078475259917
usp0007j1e,1996-06-02 02:52:09.550000+00:00,10.797,-42.254,10.0,7.0,northern Mid-Atlantic Ridge,earthquake,2450236.619554977,254.6549,-18.27215,0.0024292923978,-18.27215,-39.24564826103091,29.22037845395845,0.00243070677279,-0.7071874949999591,246.94758,250.78715,60.29479770071233,357868.80236631475,1.0,0.4955375357438386,0.8685865245724941,0.8429721455728363
usp00084m2,1997-07-09 19:24:13.170000+00:00,10.598,-63.486,19.9,7.0,"26 km WSW of Carúpano, Venezuela",earthquake,2450639.308485764,164.85882,5.70378,0.00270703012482,5.70378,-53.96606429957493,10.615991937256894,0.00270691366712,0.0582288499999771,159.16457,162.01816,79.25453305888293,398717.0883162446,0.7230643877131291,0.13481268487796297,0.7103855634618128,0.41896691026268806
usp0008rpa,1998-07-17 08:49:13.280000+00:00,-2.961,141.926,10.0,7.0,"50 km WNW of Aitape, Papua New Guinea",earthquake,2451011.8675148147,33.62927,8.63316,0.00247213706373,8.63316,-33.653794067197026,172.82393542815686,0.00247192026975,0.1083969900000838,26.80562,30.20951,-82.96527482471708,376144.9276793254,0.8612037069898513,0.10547236903711801,-0.8547206586381071,-0.23641589441812486
usp0009hnt,1999-11-15 05:42:43.220000+00:00,-1.339,88.976,10.0,7.0,South Indian Ocean,earthquake,2451497.738000232,312.0455,-18.10632,0.00266172636937,-18.10632,172.49058794184128,83.4200181208983,0.0026640222185,-1.1479245650000345,305.72548,308.88741,5.6754303435554725,397508.7806054506,0.7296781488228208,0.7261013168156705,0.0721600899947324,0.7549653528135635
usp0009ut0,2000-06-18 14:44:13.310000+00:00,-13.802,97.453,10.0,7.9,South Indian Ocean,earthquake,2451714.11404294,287.1388,-21.69652,0.00271459534024,-21.69652,158.9390232593015,58.73865725849677,0.00271461259775,-0.008628755000014,280.7644,283.95269,30.47955884947777,402833.2128028818,0.7011254140387353,0.604237017676465,0.35563249665973906,0.7464900163403606
usp000a8ds,2001-01-26 03:16:40.500000+00:00,23.419,70.232,16.0,7.7,"17 km NW of Bhach?u, India",earthquake,2451935.636579861,326.83101,-16.7736,0.00271389353823,-16.7736,152.17527181393228,89.51669803560225,0.00271436258004,-0.2345209050001219,320.81647,323.83511,-0.41760524553255324,405984.7169355951,0.6849241262554179,0.684905933554845,-0.004992084545957541,0.682909099736462
usp000bbpf,2002-09-08 18:44:23.710000+00:00,-3.302,142.945,13.0,7.6,"68 km ESE of Aitape, Papua New Guinea",earthquake,2452526.280829977,190.32684,0.4326,0.0024006573584,0.4326,-78.424428904043,138.55846135609377,0.00240005136361,0.3029973949999088,183.48376,186.91095,-49.24600899898066,363931.4588674514,0.9508515627199782,0.620727804717349,-0.7202886135278033,0.3326123593062277
