id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance
usp0006ww5,1995-05-05 03:53:45.050000+00:00,12.626,125.297,16.0,7.1,"14 km NE of Cabatuan, Philippines",earthquake,2449842.662326968,104.15054,17.88158,0.00269882297273,17.88158,-176.84570495879424,55.86103960800888
usp0007788,1995-11-22 04:15:11.940000+00:00,28.826,34.799,10.0,7.2,"27 km SSE of Nuwaybi‘a, Egypt",earthquake,2450043.677221528,231.0366,-16.22509,0.00242296173273,-16.22509,106.55103209522247,82.60640588445395
usp0007dmb,1996-02-21 12:51:01.300000+00:00,-9.593,-79.587,10.0,7.5,"123 km WSW of Puerto Santa, Peru",earthquake,2450135.035431713,5.44209,3.48675,0.00250200011146,3.48675,21.950169635441398,101.94525223128332
usp0007j1e,1996-06-02 02:52:09.550000+00:00,10.797,-42.254,10.0,7.0,northern Mid-Atlantic Ridge,earthquake,2450236.619554977,254.6549,-18.27215,0.0024292923978,-18.27215,-39.24564826103091,29.220378453958446
usp00084m2,1997-07-09 19:24:13.170000+00:00,10.598,-63.486,19.9,7.0,"26 km WSW of Carúpano, Venezuela",earthquake,2450639.308485764,164.85882,5.70378,0.00270703012482,5.70378,-53.966064299574924,10.615991937256894
usp0008rpa,1998-07-17 08:49:13.280000+00:00,-2.961,141.926,10.0,7.0,"50 km WNW of Aitape, Papua New Guinea",earthquake,2451011.8675148147,33.62927,8.63316,0.00247213706373,8.63316,-33.653794067197026,172.82393542815686
usp0009hnt,1999-11-15 05:42:43.220000+00:00,-1.339,88.976,10.0,7.0,South Indian Ocean,earthquake,2451497.738000232,312.0455,-18.10632,0.00266172636937,-18.10632,172.49058794184128,83.4200181208983
usp0009ut0,2000-06-18 14:44:13.310000+00:00,-13.802,97.453,10.0,7.9,South Indian Ocean,earthquake,2451714.11404294,287.1388,-21.69652,0.00271459534024,-21.69652,158.9390232593015,58.73865725849677
usp000a8ds,2001-01-26 03:16:40.500000+00:00,23.419,70.232,16.0,7.7,"17 km NW of Bhach?u, India",earthquake,2451935.636579861,326.83101,-16.7736,0.00271389353823,-16.7736,152.17527181393228,89.51669803560225
usp000bbpf,2002-09-08 18:44:23.710000+00:00,-3.302,142.945,13.0,7.6,"68 km ESE of Aitape, Papua New Guinea",earthquake,2452526.280829977,190.32684,0.4326,0.0024006573584,0.4326,-78.424428904043,138.55846135609377
usp000be54,2002-10-10 10:50:20.570000+00:00,-1.757,134.297,10.0,7.6,"102 km SSE of Manokwari, Indonesia",earthquake,2452557.951626968,250.66425,-22.44671,0.00247354700321,-22.44671,69.21019910792904,66.36847965057962
usp000c2ka,2003-07-15 20:27:50.530000+00:00,-2.598,68.382,10.0,7.6,Carlsberg Ridge,earthquake,2452836.352668172,323.5428,-19.76909,0.00253663946254,-19.76909,83.30807913615553,22.52572662132703
usp000cg90,2003-12-27 16:00:59.450000+00:00,-22.015,169.766,10.0,7.3,"201 km ESE of Tadine, New Caledonia",earthquake,2453001.1673547453,336.52282,-15.18267,0.00253487065556,-15.18267,0.5516464034459432,141.32915032555363
usp000ckg7,2004-02-05 21:05:02.840000+00:00,-3.615,135.538,16.6,7.0,"28 km S of Nabire, Indonesia",earthquake,2453041.3785050926,134.50955,22.36115,0.00262415135673,22.36115,42.889932867343134,93.82042176536889
usp000ckks,2004-02-07 02:42:35.210000+00:00,-4.003,135.023,10.0,7.3,"Near the south coast of Papua, Indonesia",earthquake,2453042.612907524,150.47145,17.28947,0.00259472331725,17.28947,-26.749727251978328,157.73487818653211
usp000d85g,2004-11-11 21:26:41.150000+00:00,-8.152,124.868,10.0,7.5,"63 km NW of Maubara, Timor Leste",earthquake,2453321.3935318287,217.57925,-15.59736,0.00245871433634,-15.59736,-155.4457817665858,77.94622086516134
usp000d8gx,2004-11-15 09:06:56.560000+00:00,4.695,-77.508,15.0,7.2,"32 km SSW of Pizarro, Colombia",earthquake,2453324.8798212963,271.72188,-27.95006,0.00242519077562,-27.95006,80.19628904491555,148.53251661967357
usp000d975,2004-11-26 02:25:03.310000+00:00,-3.609,135.404,10.0,7.1,"29 km SSW of Nabire, Indonesia",earthquake,2453335.6007327545,52.99081,21.27569,0.00266781301111,21.27569,-48.62996139560545,161.9033755275423
usp000dvtc,2005-07-24 15:42:06.210000+00:00,7.92,92.19,16.0,7.2,"Nicobar Islands, India region",earthquake,2453576.1542385416,348.93924,-7.46725,0.0024352987048,-7.46725,170.95439440858888,80.01201967612678
usp000eamh,2006-02-22 22:19:07.800000+00:00,-21.324,33.583,11.0,7.0,"160 km SE of Chipinge, Zimbabwe",earthquake,2453789.429951389,263.40451,-28.44131,0.00251354639346,-28.44131,135.94384688544483,90.1236031542958
usp000f114,2006-12-26 12:26:21.140000+00:00,21.799,120.547,10.0,7.1,"30 km SW of Hengchun, Taiwan",earthquake,2454096.0183002315,350.92605,-3.80682,0.00247943356241,-3.80682,69.4718760210634,56.12172535682207
usp000gs2d,2009-01-03 19:43:50.650000+00:00,-0.414,132.885,17.0,7.7,"140 km WNW of Manokwari, Indonesia",earthquake,2454835.3221140048,3.06815,6.06698,0.00257491128175,6.06698,-36.455899191063224,167.95360215635682
usp000gxkj,2009-05-28 08:24:46.560000+00:00,16.731,-86.217,19.0,7.3,"46 km NW of Guanaja, Honduras",earthquake,2454979.850538889,122.49203,20.19232,0.00243793382045,20.19232,110.28147382016141,139.679234189842
usp000h1ys,2009-09-29 17:48:10.990000+00:00,-15.489,-172.095,18.0,8.1,2009 Samoa Earthquake,earthquake,2455104.241793866,317.01983,-14.88878,0.00269390535906,-14.88878,41.351458814881596,135.11163471632045
usp000h5np,2010-01-03 22:36:25.640000+00:00,-8.783,157.354,10.0,7.1,"94 km SE of Gizo, Solomon Islands",earthquake,2455200.441963426,148.3435,9.48022,0.00242256745545,9.48022,65.79457245480518,92.96218849723437
usp000h60h,2010-01-12 21:53:10.060000+00:00,18.443,-72.571,13.0,7.0,"10 km SE of Léogâne, Haiti",earthquake,2455209.4119219906,265.93625,-25.60109,0.00268085289276,-25.60109,-174.63899732310068,108.39481284095963
usp000he3f,2010-06-16 03:16:27.550000+00:00,-2.174,136.543,18.0,7.0,"121 km SSE of Biak, Indonesia",earthquake,2455363.6364299767,135.59497,13.94856,0.00244723164546,13.94856,-177.81340442190617,48.01995250474644
usp000hr97,2010-12-21 17:19:40.660000+00:00,26.901,143.698,14.0,7.4,"Bonin Islands, Japan region",earthquake,2455552.22199838,94.79491,23.19489,0.00250750681585,23.19489,104.70325168740936,35.38483767842283
