id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,moon_altitude,A_norm,tau_raw,sigma_raw,strike1,dip1,rake1,strike2,dip2,rake2,final_cfs_optimal
usp0006qyz,1995-01-06 22:37:34.320000+00:00,40.246,142.175,26.9,7.0,"63 km ESE of Hachinohe, Japan",earthquake,2449724.4427583334,355.5623,2.06087,0.00261215789812,-27.28610311952307,0.7252739842192192,0.6445716240216607,-0.33249026104729607,180.0,22.0,68.0,24.0,69.0,98.0,0.25318720601745626
usp0006sef,1995-02-05 22:51:05.140000+00:00,-37.759,178.752,21.1,7.1,"118 km NNE of Gisborne, New Zealand",earthquake,2449754.452142824,27.03611,12.09037,0.0026700414789,-8.125732341882408,0.6898397831798457,0.6829139829420287,-0.09750599140499602,197.0,68.0,253.0,55.0,26.0,-54.0,0.41625217256617153
usp0006vb3,1995-04-07 22:06:56.890000+00:00,-15.199,-173.529,21.2,7.4,"88 km NNE of Hihifo, Tonga",earthquake,2449815.421491782,104.911,17.80052,0.00268211369778,-24.924151893873237,0.671575741849198,0.6090295119095476,-0.2830141880957894,300.0,84.0,75.0,188.0,15.0,157.0,0.34262821253238485
usp0006vz9,1995-04-21 00:34:46.090000+00:00,12.059,125.58,20.7,7.2,"10 km E of Dapdap, Philippines",earthquake,2449828.52414456,286.74051,-17.52783,0.0024748049136,26.21790509319823,0.8923166391137277,0.8005154191941334,0.39421320129044324,221.0,34.0,126.0,360.0,63.0,68.0,0.8357685901115716
usp0006ww5,1995-05-05 03:53:45.050000+00:00,12.626,125.297,16.0,7.1,"14 km NE of Cabatuan, Philippines",earthquake,2449842.662326968,104.15054,17.88158,0.00269882297273,33.4506621177729,0.6902467315586814,0.5759148085601974,0.3804769161309444,343.0,75.0,90.0,159.0,14.0,86.0,0.7427928636184216
usp0006xg1,1995-05-16 20:12:44.220000+00:00,-23.008,169.9,20.2,7.7,"249 km E of Vao, New Caledonia",earthquake,2449854.3421784723,263.18222,-19.37705,0.00240217490808,11.712049781406204,0.9640623008982603,0.9439906598259397,0.19569812000792128,257.0,52.0,230.0,131.0,52.0,-50.0,0.48603450616309596
usp0006y50,1995-05-27 13:03:52.650000+00:00,52.629,142.827,11.0,7.1,"85 km S of Tungor, Russia",earthquake,2449865.044359375,43.50524,15.65382,0.00270008553476,-22.56920052129792,0.6594110036526013,0.6089111082451739,-0.25308127942178,106.0,88.0,359.0,196.0,89.0,-178.0,-0.4786254520608263
usp000702z,1995-07-03 19:50:50.620000+00:00,-29.211,-177.589,35.3,7.2,"Kermadec Islands, New Zealand",earthquake,2449902.3269747687,166.69179,1.75973,0.0026003418983,-31.949250698081958,0.7326316061189195,0.6216504717263853,-0.3876851316297161,191.0,31.0,82.0,20.0,58.0,94.0,0.07219198095357204
usp000714t,1995-07-30 05:11:23.630000+00:00,-23.34,-70.294,45.6,8.0,"36 km NNE of Antofagasta, Chile",earthquake,2449928.7162457174,156.63741,5.40273,0.00262245588768,-62.924985024638204,0.7020494912255826,0.3195425071940727,-0.625112849193028,14.0,17.0,116.0,166.0,74.0,82.0,-0.1536747213032505
usp00071w4,1995-08-16 10:27:28.630000+00:00,-5.799,154.178,30.1,7.7,"155 km WNW of Panguna, Papua New Guinea",earthquake,2449945.9357480323,32.12728,12.47511,0.00263918374259,-28.066986520653984,0.7030091963163831,0.6203339887773178,-0.33076830633092613,315.0,41.0,85.0,140.0,48.0,93.0,-0.011475419183881175
usp00071xh,1995-08-16 23:10:23.980000+00:00,-5.771,154.347,33.0,7.2,"139 km WNW of Panguna, Papua New Guinea",earthquake,2449946.465555324,38.64856,14.04465,0.00265487295679,18.626663084408918,0.7173673157742121,0.6797915274874715,0.22912735519214716,303.0,37.0,77.0,138.0,53.0,99.0,0.5903501331810062
usp00073c5,1995-09-14 14:04:31.430000+00:00,16.779,-98.597,23.0,7.4,"5 km N of Azoyú, Mexico",earthquake,2449975.0864748843,54.47626,16.82459,0.00267204379017,40.44289504831365,0.7146892904389991,0.5439163376707997,0.463611690408023,295.0,13.0,91.0,114.0,76.0,89.0,0.7660156554111344
usp00074vc,1995-10-09 15:35:53.910000+00:00,19.055,-104.205,33.0,8.0,"1995 Colima-Jalisco, Mexico Earthquake",earthquake,2450000.1499295137,25.73536,10.54679,0.00261193518707,-26.362218212203402,0.725989155991403,0.6504897433189564,-0.32237144484886987,290.0,15.0,67.0,133.0,75.0,96.0,0.35299055790284584
usp00075bd,1995-10-18 10:37:26.380000+00:00,27.929,130.175,28.4,7.1,"83 km SE of Naze, Japan",earthquake,2450008.942666435,135.15163,11.74474,0.00265692613385,-50.8765043017382,0.6790629599876192,0.42848464889618904,-0.5268087027446078,6.0,18.0,246.0,211.0,73.0,-82.0,-0.00865327963712656
usp0007788,1995-11-22 04:15:11.940000+00:00,28.826,34.799,10.0,7.2,"27 km SSE of Nuwaybi‘a, Egypt",earthquake,2450043.677221528,231.0366,-16.22509,0.00242296173273,6.453201137625097,0.9349967501791194,0.929072599518737,0.10508581097851065,293.0,85.0,205.0,201.0,64.0,-4.0,0.1861377887364546
usp000782n,1995-12-03 18:01:08.990000+00:00,44.663,149.3,33.0,7.9,"128 km ESE of Kuril’sk, Russia",earthquake,2450055.2507984955,32.36147,12.25533,0.00265009945012,1.1391401260522274,0.7109328879168919,0.7107923824122495,0.014133655810529949,230.0,18.0,103.0,36.0,71.0,85.0,0.5978892587922409
usp00079zv,1996-01-01 08:05:10.830000+00:00,0.729,119.931,24.0,7.9,"181 km N of Palu, Indonesia",earthquake,2450083.8369309027,49.02364,15.72589,0.0026773180667,21.002431294015263,0.7006955422252844,0.6541449870779114,0.25113458299331154,42.0,9.0,69.0,243.0,81.0,93.0,0.7436622323114439
usp0007chh,1996-02-07 21:36:46.300000+00:00,45.324,149.892,42.6,7.2,"158 km E of Kuril’sk, Russia",earthquake,2450121.40053588,174.48407,0.13767,0.00263446992024,8.343461765667714,0.7280942911339664,0.7203881432430246,0.10565140726341742,241.0,30.0,119.0,28.0,63.0,74.0,0.5692212286709444
official19960217055930550_33,1996-02-17 05:59:30.550000+00:00,-0.891,136.952,33.0,8.09,"1996 Biak, Indonesia Earthquake",earthquake,2450130.7496591434,304.93276,-14.50947,0.00241233138176,20.103514421398305,0.9590059192338394,0.9005767294412772,0.32962692170754787,107.0,12.0,79.0,297.0,77.0,92.0,1.00350359864145
usp0007dmb,1996-02-21 12:51:01.300000+00:00,-9.593,-79.587,10.0,7.5,"123 km WSW of Puerto Santa, Peru",earthquake,2450135.035431713,5.44209,3.48675,0.00250200011146,-12.840885987014504,0.8345518024252195,0.8136805048413764,-0.18547438360125473,326.0,12.0,77.0,159.0,77.0,92.0,0.6170993357308786
usp0007dv6,1996-02-25 03:08:15.870000+00:00,15.978,-98.07,21.1,7.1,"24 km SSW of Santa María Chico Ometepec, Mexico",earthquake,2450138.6307392363,51.72626,15.7078,0.00263975043394,39.780912918011055,0.7412267189430294,0.5696303039557303,0.4742766763086194,290.0,19.0,94.0,105.0,70.0,88.0,0.7981989840789266
usp0007gqq,1996-04-29 14:40:41.090000+00:00,-6.518,154.999,44.0,7.2,"58 km WSW of Panguna, Papua New Guinea",earthquake,2450203.11158669,171.45391,1.22869,0.00261702211094,27.214713604868113,0.7541275844706099,0.6706448772025418,0.344882389143697,138.0,46.0,99.0,305.0,44.0,80.0,0.6348844110646829
usp0007j1e,1996-06-02 02:52:09.550000+00:00,10.797,-42.254,10.0,7.0,northern Mid-Atlantic Ridge,earthquake,2450236.619554977,254.6549,-18.27215,0.0024292923978,60.29479770071233,0.9652937333214828,0.4783392778790977,0.8384411290173147,275.0,78.0,185.0,183.0,84.0,-11.0,0.8021456250696031
usp0007jcu,1996-06-10 04:03:35.480000+00:00,51.564,-177.632,33.0,7.9,"77 km WSW of Adak, Alaska",earthquake,2450244.669160648,9.95694,4.68844,0.00255472562327,-21.49456936060436,0.7784863158590866,0.7243443844479021,-0.28524753583272777,256.0,21.0,101.0,63.0,69.0,85.0,0.36365683364280466
usp0007jfz,1996-06-10 15:24:56+00:00,51.478,-176.847,26.3,7.3,"46 km SSW of Adak, Alaska",earthquake,2450245.142314815,15.93882,6.59052,0.00256817549476,21.308727403523772,0.7946763960185453,0.7403490480098457,0.2887799534246431,260.0,25.0,105.0,63.0,65.0,82.0,0.7725631863893895
usp0007jkw,1996-06-11 18:22:55.730000+00:00,12.614,125.154,33.0,7.1,"8 km NNE of Palapag, Philippines",earthquake,2450246.265922801,30.11362,10.72188,0.00259863878481,2.5334622141530865,0.7549597992741299,0.7542218837148656,0.03337137464405946,344.0,69.0,93.0,154.0,20.0,80.0,0.6295103239932388
usp0007me1,1996-07-22 14:19:35.770000+00:00,1.0,120.45,33.0,7.0,"220 km NNE of Palu, Indonesia",earthquake,2450287.0969417826,195.48458,-6.03519,0.00262034913814,8.399538797264016,0.7399971506602385,0.7320595777557782,0.1080951321813495,266.0,80.0,96.0,51.0,11.0,56.0,0.7258053320289982
usp0007swp,1996-11-12 16:59:44.030000+00:00,-14.993,-75.675,33.0,7.7,"60 km SW of Changuillo, Peru",earthquake,2450400.208148496,249.29047,-17.44851,0.00250024255248,72.36848071736344,0.8878819628132539,0.26893430543613955,0.8461729842347235,319.0,28.0,68.0,164.0,63.0,101.0,0.9338521793700038
usp0007vrx,1997-01-11 20:28:26.020000+00:00,18.219,-102.756,33.0,7.2,"46 km WNW of El Habillal, Mexico",earthquake,2450460.353078936,330.36893,-9.22924,0.00241419548084,58.46465208069038,0.9828020002585726,0.5140295159428593,0.837659494336333,174.0,17.0,333.0,289.0,82.0,-106.0,0.9967848341207965
usp0007xx2,1997-02-27 21:08:02.360000+00:00,29.976,68.208,33.0,7.1,"29 km ESE of Harnai, Pakistan",earthquake,2450507.3805828704,218.14267,-11.36984,0.00263357273357,35.83471369309274,0.744557473092284,0.6036196401771061,0.4359004023054213,93.0,74.0,85.0,291.0,15.0,106.0,0.8017988045472093
usp00080wt,1997-04-21 12:02:26.430000+00:00,-12.584,166.676,33.0,7.7,"171 km NNW of Sola, Vanuatu",earthquake,2450560.0016947915,195.28768,-4.83123,0.00266210244056,81.94292851367898,0.7346869834334359,0.10297330387859434,0.7274348509075217,301.0,36.0,41.0,175.0,66.0,118.0,0.7871492658425846
usp000820p,1997-05-10 07:57:29.720000+00:00,33.825,59.809,10.0,7.3,"58 km E of Q?’en, Iran",earthquake,2450578.831593981,93.28982,18.31346,0.00260301784383,45.70572378636064,0.776320230855926,0.542138408400904,0.5556609100636223,68.0,82.0,354.0,159.0,84.0,-172.0,0.4418926186338167
usp00084m2,1997-07-09 19:24:13.170000+00:00,10.598,-63.486,19.9,7.0,"26 km WSW of Carúpano, Venezuela",earthquake,2450639.308485764,164.85882,5.70378,0.00270703012482,79.25453305888293,0.6979695222474185,0.13013383988494148,0.6857307326517385,265.0,82.0,193.0,173.0,76.0,-8.0,0.712693812506644
usp00087s6,1997-09-20 16:11:32.150000+00:00,-28.683,-177.624,30.0,7.0,Kermadec Islands region,earthquake,2450712.174677662,50.43144,13.6499,0.00247930855782,44.73569892153976,0.8994551161589823,0.6389379043189327,0.6330701860055477,7.0,60.0,83.0,201.0,30.0,102.0,0.9613859141037118
usp000892b,1997-10-15 01:03:33.460000+00:00,-30.933,-71.22,58.0,7.1,"36 km SW of Monte Patria, Chile",earthquake,2450736.5441372683,6.1741,1.04549,0.00239891188879,41.13312404731967,0.9915779759034501,0.7468398949447377,0.6522706904466244,323.0,10.0,240.0,172.0,80.0,-84.0,1.053828874041346
usp0008a97,1997-11-08 10:02:52.610000+00:00,35.069,87.325,33.0,7.5,western Xizang,earthquake,2450760.9186644675,324.31979,-11.88006,0.00248524659764,29.646344656641393,0.883421667294512,0.7677774527986022,0.43698011993625707,165.0,76.0,167.0,258.0,77.0,14.0,0.35403967073056275
usp0008baj,1997-11-25 12:14:33.630000+00:00,1.241,122.536,24.0,7.0,"97 km NW of Gorontalo, Indonesia",earthquake,2450778.010111458,191.17494,-2.52129,0.00269730248749,-88.6638763471962,0.6425638710250099,0.014983075220652628,-0.6423891622712652,269.0,72.0,92.0,82.0,17.0,83.0,-0.4209682036975475
usp0008btk,1997-12-05 11:26:54.690000+00:00,54.841,162.035,33.0,7.8,"156 km S of Ust’-Kamchatsk Staryy, Russia",earthquake,2450787.977021875,322.09977,-12.68608,0.00249906076562,-9.032658749649716,0.840349571217189,0.8299284063353685,-0.13193271846872914,200.0,18.0,73.0,37.0,71.0,95.0,0.5957643854690357
usp0008f7c,1998-01-30 12:16:08.690000+00:00,-23.913,-70.207,42.0,7.1,"34 km SSE of Antofagasta, Chile",earthquake,2450844.01121169,342.57394,-7.4307,0.00243201307055,-6.277365123387284,0.9138229848636041,0.9083439113053718,-0.09991889941090044,15.0,23.0,115.0,167.0,68.0,79.0,0.6183359252843128
usp0008hzd,1998-03-25 03:12:25.070000+00:00,-62.877,149.527,10.0,8.1,1998 Balleny Islands Earthquake,earthquake,2450897.633623495,324.26455,-12.48877,0.00244728072846,25.39182824229168,0.9223942780546447,0.8332877256601573,0.39552846983759793,7.0,59.0,195.0,269.0,76.0,-31.0,0.5639870693776982
usp0008jd7,1998-04-01 17:56:23.360000+00:00,-0.544,99.261,55.7,7.0,"95 km W of Pariaman, Indonesia",earthquake,2450905.247492593,74.96692,17.4954,0.00249525362181,-32.59426922901807,0.827959110165673,0.6975607508002633,-0.44601041136873265,129.0,70.0,89.0,312.0,19.0,92.0,0.2548239829448114
usp0008mdk,1998-05-03 23:30:21.910000+00:00,22.306,125.308,33.0,7.5,"254 km SSE of Ishigaki, Japan",earthquake,2450937.4794202545,141.62524,13.35012,0.00264767825029,-50.808829152304064,0.6861626064614821,0.4335929288943666,-0.5318047522529481,138.0,84.0,15.0,47.0,74.0,174.0,-0.6170417415964465
usp0008rpa,1998-07-17 08:49:13.280000+00:00,-2.961,141.926,10.0,7.0,"50 km WNW of Aitape, Papua New Guinea",earthquake,2451011.8675148147,33.62927,8.63316,0.00247213706373,-82.96527482471708,0.8313145414705339,0.10181181687010081,-0.825056495523775,297.0,82.0,84.0,154.0,9.0,127.0,-0.3608391502750095
usp0008ssb,1998-08-04 18:59:20.100000+00:00,-0.593,-80.393,33.0,7.2,"3 km E of Bahía de Caráquez, Ecuador",earthquake,2451030.291204861,270.97691,-18.8558,0.00259697707839,-22.713663792309358,0.7406400608427998,0.6832004860493212,-0.28598041119488843,30.0,17.0,123.0,175.0,75.0,80.0,0.38044212650223297
usp0008xw8,1998-11-09 05:38:44.220000+00:00,-6.92,128.946,33.0,7.0,"278 km NE of Lospalos, Timor Leste",earthquake,2451126.735234028,116.46096,18.43089,0.00252754304605,-54.957135404074414,0.7856808880896436,0.4511294072298378,-0.6432547829917679,289.0,37.0,111.0,84.0,56.0,75.0,-0.3409214544231565
usp0008yx2,1998-11-29 14:10:31.960000+00:00,-2.071,124.891,33.0,7.7,"264 km ESE of Luwuk, Indonesia",earthquake,2451147.0906476853,11.08514,0.91339,0.00244500243659,54.59114550818612,0.943707665742565,0.5467909551718408,0.7691578574802098,94.0,63.0,338.0,194.0,71.0,-151.0,0.8783609888054379
usp00093u0,1999-03-04 08:52:01.900000+00:00,5.397,121.937,33.0,7.1,"69 km S of Tabiauan, Philippines",earthquake,2451241.869466435,188.27712,0.48874,0.00265610977513,-42.033157647005645,0.6832069411199304,0.5074570579856611,-0.45744842189583446,174.0,42.0,102.0,337.0,48.0,78.0,-0.20078084375332328
usp00099y6,1999-06-15 20:42:05.930000+00:00,18.386,-97.436,70.0,7.0,"1 km SE of Texcala, Mexico",earthquake,2451345.362568634,114.66324,19.65127,0.00244247315401,87.578606881484,0.9554926519524568,0.04036832588147903,0.9546395163624148,308.0,36.0,272.0,125.0,53.0,-91.0,1.0036140116809285
usp0009d4z,1999-08-17 00:01:39.130000+00:00,40.748,29.864,17.0,7.6,"4 km ESE of Derince, Turkey",earthquake,2451407.501147338,210.39621,-6.88471,0.00266557118328,-44.515959509828306,0.6749407879436906,0.4812700290993571,-0.47320632531777707,178.0,74.0,9.0,85.0,81.0,163.0,-0.5594430304059104
